Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,LCSC,Type,Dielectric,Voltage,Tolerance,Mouser PN,Voltage Rating,PROD_ID,Color,MF,Description_1,Price,Check_prices,SnapEDA_Link,MP,Availability,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD,PARTREV,Purchase-URL,SNAPEDA_PN,Series
C1,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,,,,,,,,,,,,,,,,
C10,1,2µ2,C_1206_3216Metric,1206,C1206C225J5RECAUTO,Yes,smt,2.2uF X7R ±5% 50V 1206 Ceramic Capacitors RoHS,KEMET,C1513220,SMD,X7R,50V,5%,80-C1206C225J5RECAUT,,,,,,,,,,,,,,,,,
C11,1,47µF,CAP_EEEFT1H470AP,"SMD,D6.3xL5.8mm",EEEFT1H470AP,Yes,smt,47uF ±20% 50V Aluminum Electrolytic Capacitors 2000hrs@105℃,PANASONIC,C92059,SMD,20%,50V,20%,667-EEE-FT1H470AP,50V,,,,,,,,,,,,,,,,
C15,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,CAP-00810,,,,,,,,,,,,,,,
C16,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,CAP-00810,,,,,,,,,,,,,,,
C17,1,1µF,C_1206_3216Metric,1206,12065C105JAT2A,Yes,smt,1uF ±5% 50V Ceramic Capacitor X7R 1206,Kyocera AVX,C597503,SMD,X7R,50V,5%,581-12065C105JAT2A,,CAP-00810,,,,,,,,,,,,,,,
C18,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,CAP-00810,,,,,,,,,,,,,,,
C19,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,CAP-00810,,,,,,,,,,,,,,,
C2,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,,,,,,,,,,,,,,,,
C20,1,100nF,C_0805_2012Metric,0805,C0805C104J5RACTU,Yes,smt,100nF ±5% 50V Ceramic Capacitor X7R 0805,KEMET,C2167095,SMD,X7R,50V,5%,80-C0805C104J5R,,CAP-00810,,,,,,,,,,,,,,,
