pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
45.466,-89.154,-90.0,top,C1,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
47.879,-78.945,90.0,top,C10,C1206C225J5RECAUTO,1206,C_1206_3216Metric,2µ2,smt
56.301,-76.327,180.0,top,C11,EEEFT1H470AP,"SMD,D6.3xL5.8mm",CAP_EEEFT1H470AP,47µF,smt
56.301,-98.425,180.0,top,C12,EEEFT1H470AP,"SMD,D6.3xL5.8mm",CAP_EEEFT1H470AP,47µF,smt
52.893,-58.674,0.0,top,C13,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
69.027,-59.944,0.0,top,C14,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
76.913,-76.327,0.0,top,C15,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
64.946,-86.36,180.0,top,C16,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
64.946,-77.597,180.0,top,C17,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
64.897,-79.756,180.0,top,C18,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
64.958,-89.916,180.0,top,C19,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
53.34,-90.236,-90.0,top,C2,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
64.963,-81.989,180.0,top,C20,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
64.958,-84.201,180.0,top,C21,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
75.885,-85.291,0.0,top,C22,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
63.439,-51.816,180.0,top,C23,08055C474JAT2A,0805,C_0805_2012Metric,470nF,smt
81.854,-107.95,180.0,top,C24,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
55.565,-50.8,180.0,top,C25,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
63.434,-49.784,180.0,top,C26,08055C474JAT2A,0805,C_0805_2012Metric,470nF,smt
81.854,-118.237,180.0,top,C27,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
70.358,-94.676,-90.0,top,C28,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
55.499,-121.539,180.0,top,C29,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
55.626,-90.219,-90.0,top,C3,C1206C225J5RECAUTO,1206,C_1206_3216Metric,2µ2,smt
65.847,-121.539,180.0,top,C30,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
75.0875,-124.6175,180.0,top,C31,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
45.466,-84.504,90.0,top,C4,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
47.752,-84.455,90.0,top,C5,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
55.499,-84.328,90.0,top,C6,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
53.213,-84.455,90.0,top,C7,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
50.165,-81.341,90.0,top,C8,C0805C104J5RACTU,0805,C_0805_2012Metric,100nF,smt
45.466,-78.945,90.0,top,C9,12065C105JAT2A,1206,C_1206_3216Metric,1µF,smt
85.459,-96.5,90.0,bottom,CN10,SSW-117-23-G-D,"Through Hole,P=2.54mm",SAMTEC_SSW-117-23-F-D,SSW-117-23-G-D,tht
86.729,-81.026,90.0,bottom,CN7,SSW-110-23-G-D,"Through Hole,P=2.54mm",SAMTEC_SSW-110-23-X-D,SSW-110-23-G-D,tht
39.739,-78.74,90.0,bottom,CN8,SSW-108-23-G-D,"Through Hole,P=2.54mm",SAMTEC_SSW-108-23-F-D,SSW-108-23-G-D,tht
39.739,-101.6,90.0,bottom,CN9,SSW-115-23-G-D,"Through Hole,P=2.54mm",SAMTEC_SSW-115-23-F-D,SSW-115-23-G-D,tht
33.997999,-165.5445,0.0,top,D1,IN-S63ATR,0603,LED_0603_WRE,LED,smt
70.612,-164.364001,90.0,top,D10,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
83.312,-164.326,90.0,top,D11,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
85.344,-164.326,90.0,top,D12,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
38.862,-155.956,90.0,top,D13,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
40.894,-155.956,90.0,top,D14,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
68.58,-155.956,90.0,top,D15,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
70.612,-155.956,90.0,top,D16,IN-S63AT5G,0603,LED_0603_WRE,LED,smt
53.594,-155.956,90.0,top,D17,IN-S63AT5A,0603,LED_0603_WRE,LED,smt
