"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Color","DNP","Dielectric","LCSC","MPN","Manufacturer","Package","Tolerance","Type","Voltage","Description","Mouser PN"
"C1,C4,C6,C9,C15,C16,C17","7","1µF","","","","Capacitor_SMD:C_1206_3216Metric","https://datasheets.kyocera-avx.com/KGM_X7R.pdf","","","X7R","C597503","12065C105JAT2A","Kyocera AVX","1206","5%","SMD","50V","1uF ±5% 50V Ceramic Capacitor X7R 1206","581-12065C105JAT2A"
"C2,C5,C7,C8,C18,C19,C20,C21,C22,C24,C25,C27,C28,C29,C30,C31","16","100nF","","","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C2167095.pdf","","","X7R","C2167095","C0805C104J5RACTU","KEMET","0805","5%","SMD","50V","100nF ±5% 50V Ceramic Capacitor X7R 0805","80-C0805C104J5R"
"C3,C10","2","2µ2","","","","Capacitor_SMD:C_1206_3216Metric","https://www.lcsc.com/datasheet/C1513220.pdf","","","X7R","C1513220","C1206C225J5RECAUTO","KEMET","1206","5%","SMD","50V","2.2uF X7R ±5% 50V 1206 Ceramic Capacitors RoHS","80-C1206C225J5RECAUT"
"C11","1","47µF","","","","EEEFT1H470AP:CAP_EEEFT1H470AP","~","","","20%","C92059","EEEFT1H470AP","PANASONIC","SMD,D6.3xL5.8mm","20%","SMD","50V","47uF ±20% 50V Aluminum Electrolytic Capacitors 2000hrs@105℃","667-EEE-FT1H470AP"
"C12","1","47µF","DNP","Excluded from BOM","","EEEFT1H470AP:CAP_EEEFT1H470AP","~","","DNP","20%","C92059","EEEFT1H470AP","PANASONIC","SMD,D6.3xL5.8mm","20%","SMD","50V","47uF ±20% 50V Aluminum Electrolytic Capacitors 2000hrs@105℃","667-EEE-FT1H470AP"
"C13,C14","2","100nF","DNP","Excluded from BOM","","Capacitor_SMD:C_0805_2012Metric","https://www.lcsc.com/datasheet/C2167095.pdf","","DNP","X7R","C2167095","C0805C104J5RACTU","KEMET","0805","5%","SMD","50V","100nF ±5% 50V Ceramic Capacitor X7R 0805","80-C0805C104J5R"
"C23,C26","2","470nF","","","","Capacitor_SMD:C_0805_2012Metric","https://datasheets.kyocera-avx.com/KGM_X7R.pdf","","","X7R","C14663","08055C474JAT2A","Kyocera AVX","0805","5%","SMD","50V","470nF ±5% 50V Ceramic Capacitor X7R 0805","581-08055C474JAT2A"
"CN7","1","SSW-110-23-G-D","","","","SSW-110-23-X-D:SAMTEC_SSW-110-23-X-D","https://www.lcsc.com/datasheet/C6236460.pdf","","","","C6236460","SSW-110-23-G-D","Samtec","Through Hole,P=2.54mm","","THT","","Female Header 20 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃","200-SSW11023GD"
"CN8","1","SSW-108-23-G-D","","","","SSW-108-23-F-D:SAMTEC_SSW-108-23-F-D","https://www.lcsc.com/datasheet/C7019040.pdf","","","","C7019040","SSW-108-23-G-D","Samtec","Through Hole,P=2.54mm","","THT","","Female Header 16 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃","200-SSW10823GD"
"CN9","1","SSW-115-23-G-D","","","","SSW-115-23-F-D:SAMTEC_SSW-115-23-F-D","https://www.lcsc.com/datasheet/C7089189.pdf","","","","C7089189","SSW-115-23-G-D","Samtec","Through Hole,P=2.54mm","","THT","","Female Header 30 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃","200-SSW11523GD"
"CN10","1","SSW-117-23-G-D","","","","SSW-117-23-F-D:SAMTEC_SSW-117-23-F-D","https://www.lcsc.com/datasheet/C6501751.pdf","","","","C6501751","SSW-117-23-G-D","Samtec","Through Hole,P=2.54mm","","THT","","Female Header 34 Position 2.54mm Pitch Dual Row Through Hole -55℃~+125℃","200-SSW11723GD"
